Comment,Designator,Footprint,LCSC,Quantity
B3B-XH-A,J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394,1
B6B-XH-A,J3,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,C144397,1
B2B-XH-A,J4,CONN_B2B-XH-A_JST,C158012,1
0.1uF,"C1,C11,C12,C13,C2,C3,C4,C5,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,9
10uF,"C7,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C32635,2
BMP581,U1,QFN10_BMP581_BOS,C5362283,1
ComputeModule4-CM4,Module1,Raspberry-Pi-4-Compute-Module,C597931,1
TPS79318-EP,U5,SOT-23-5,C7102,1
ICM-20948,U4,QFN24_3X3X0P9_IVS,C726001,1
TPS79333-EP,U3,SOT-23-5,C9840,1
